VehicleModel,VehicleYear,PartName,HoursOfOperation,SupplierName,ClaimDate,SettlementAmount,MaintenanceFrequency,EnvironmentCondition,OperationalIntensity,WarrantyStatus,PreviousFailures,pass_fail
Model C,2022,Engine,2092.0,DriveLineTech,2018-01-01 00:00:00.000000000,970.6276512548197,500 hours,Rural,Heavy,Out of Warranty,4,pass
Model D,2016,Alternator,4648.0,MotoComponentsLtd,2018-01-01 14:36:46.335445148,796.673189950582,500 hours,Rural,Moderate,In Warranty,0,pass
Model A,2020,Radiator,2072.0,RideEquipCorp,2018-01-02 05:13:32.670890296,539.7588826486572,1500 hours,Urban,Light,In Warranty,1,pass
Model C,2018,Engine,168.0,DriveLineTech,2018-01-02 19:50:19.006335445,1228.2006857334432,1500 hours,Mountainous,Heavy,Out of Warranty,0,pass
Model C,2019,Brake,759.0,AutoPartsCo,2018-01-03 10:27:05.341780593,1765.711493675496,1000 hours,Urban,Moderate,In Warranty,0,pass
Model D,2019,Engine,3607.0,RideEquipCorp,2018-01-04 01:03:51.677225741,683.0894710111285,500 hours,Mountainous,Light,In Warranty,2,fail
Model A,2016,Engine,4190.0,RideEquipCorp,2018-01-04 15:40:38.012670890,822.6592728477418,1500 hours,Mountainous,Light,Out of Warranty,4,pass
Model A,2015,Brake,4459.0,DriveLineTech,2018-01-05 06:17:24.348116038,842.9197592224685,500 hours,Rural,Moderate,In Warranty,4,pass
Model C,2018,Headlight,3300.0,MotoComponentsLtd,2018-01-05 20:54:10.683561187,1143.5840664661584,500 hours,Coastal,Light,Out of Warranty,1,pass
Model B,2019,Headlight,467.0,RideEquipCorp,2018-01-06 11:30:57.019006335,495.3974750565053,500 hours,Coastal,Light,Out of Warranty,3,fail
Model C,2016,Alternator,2653.0,MotoComponentsLtd,2018-01-07 02:07:43.354451483,1653.3117528500234,1000 hours,Rural,Heavy,In Warranty,2,fail
Model C,2022,Alternator,3904.0,DriveLineTech,2018-01-07 16:44:29.689896632,626.4244411332315,1500 hours,Coastal,Light,Out of Warranty,1,pass
Model C,2019,Headlight,1151.0,AutoPartsCo,2018-01-08 07:21:16.025341780,1425.4572472485297,1500 hours,Rural,Heavy,Out of Warranty,1,pass
Model C,2021,Radiator,4471.0,RideEquipCorp,2018-01-08 21:58:02.360786929,1050.7706964701265,500 hours,Urban,Heavy,Out of Warranty,4,fail
,2018,Engine,3478.0,AutoPartsCo,2018-01-09 12:34:48.696232077,1192.500326537876,1500 hours,Mountainous,Heavy,Out of Warranty,2,pass
Model A,2018,Radiator,2311.0,MotoComponentsLtd,2018-01-10 03:11:35.031677225,400.2370407132406,1000 hours,Coastal,Heavy,Out of Warranty,4,pass
Model D,2021,Engine,4219.0,MotoComponentsLtd,2018-01-10 17:48:21.367122374,1483.2952364474324,500 hours,Coastal,Light,In Warranty,3,pass
Model D,2017,Headlight,3684.0,AutoPartsCo,2018-01-11 08:25:07.702567522,417.81001213313067,1000 hours,Urban,Light,In Warranty,4,pass
Model D,2022,Alternator,558.0,DriveLineTech,2018-01-11 23:01:54.038012670,271.2735933735063,1000 hours,Urban,Heavy,Out of Warranty,0,fail
Model C,2021,Alternator,2429.0,DriveLineTech,2018-01-12 13:38:40.373457819,1116.0250247831345,1500 hours,Coastal,Light,Out of Warranty,4,fail
Model B,2020,Radiator,3214.0,RideEquipCorp,2018-01-13 04:15:26.708902967,1433.1294169894472,1500 hours,Coastal,Heavy,In Warranty,0,fail
Model A,2020,Alternator,737.0,RideEquipCorp,2018-01-13 18:52:13.044348116,147.56988104777562,1000 hours,Rural,Heavy,Out of Warranty,1,pass
Model B,2016,Headlight,4802.0,DriveLineTech,2018-01-14 09:28:59.379793264,185.32086413405705,1500 hours,Rural,Heavy,Out of Warranty,3,pass
,2018,Radiator,1342.0,DriveLineTech,2018-01-15 00:05:45.715238412,1615.2243672765421,1000 hours,Coastal,Moderate,Out of Warranty,0,pass
Model D,2017,,3955.0,AutoPartsCo,2018-01-15 14:42:32.050683561,1627.6137640392974,1000 hours,Rural,Light,In Warranty,3,fail
